algorithm,attenuation_db_vs_no_control,final_residual_power,initial_residual_power,mse,residual_power,rmse,run_id,scenario_id,segment_mse,target_available
none,0.0,0.03163891291453371,0.0,,0.03192320037765744,,broadband__nominal__nominal__synthetic__identified__none,broadband__nominal__nominal__synthetic__identified,,False
fxlms,4.699326067619904,0.0024826445739845335,0.0,,0.010818668589528634,,broadband__nominal__nominal__synthetic__identified__fxlms,broadband__nominal__nominal__synthetic__identified,,False
fxnlms,15.525870155537568,1.899678624009584e-07,0.0,,0.0008943745001291126,,broadband__nominal__nominal__synthetic__identified__fxnlms,broadband__nominal__nominal__synthetic__identified,,False
none,0.0,0.03301140933338224,0.0,,0.03248644355282445,,broadband__nominal__identified-mismatch__synthetic__identified__none,broadband__nominal__identified-mismatch__synthetic__identified,,False
fxlms,5.03316377324435,0.002211080215109116,0.0,,0.010194966247992788,,broadband__nominal__identified-mismatch__synthetic__identified__fxlms,broadband__nominal__identified-mismatch__synthetic__identified,,False
fxnlms,14.231477442969911,4.253585345879341e-07,0.0,,0.0012261805567566613,,broadband__nominal__identified-mismatch__synthetic__identified__fxnlms,broadband__nominal__identified-mismatch__synthetic__identified,,False
none,0.0,0.02331075119932871,0.0,,0.022638238321865272,,colored__nominal__nominal__synthetic__identified__none,colored__nominal__nominal__synthetic__identified,,False
fxlms,4.396156392173116,0.002592837807179565,0.0,,0.008226725156755526,,colored__nominal__nominal__synthetic__identified__fxlms,colored__nominal__nominal__synthetic__identified,,False
fxnlms,16.39445588793865,2.30798728048444e-05,0.0,,0.0005192745509087984,,colored__nominal__nominal__synthetic__identified__fxnlms,colored__nominal__nominal__synthetic__identified,,False
none,0.0,0.021855413819411966,0.0,,0.023714411094745518,,colored__nominal__identified-mismatch__synthetic__identified__none,colored__nominal__identified-mismatch__synthetic__identified,,False
fxlms,5.078899432351241,0.00211965546136583,0.0,,0.007364146183253448,,colored__nominal__identified-mismatch__synthetic__identified__fxlms,colored__nominal__identified-mismatch__synthetic__identified,,False
fxnlms,15.31320706358873,3.31890006877487e-05,0.0,,0.0006977368139930568,,colored__nominal__identified-mismatch__synthetic__identified__fxnlms,colored__nominal__identified-mismatch__synthetic__identified,,False
none,0.0,0.0250971148537574,0.0,,0.02516689796906694,,tonal__nominal__nominal__synthetic__identified__none,tonal__nominal__nominal__synthetic__identified,,False
fxlms,12.156127872046781,2.7783347610947113e-06,0.0,,0.0015318523290269496,,tonal__nominal__nominal__synthetic__identified__fxlms,tonal__nominal__nominal__synthetic__identified,,False
fxnlms,23.569158577486142,4.429524160689187e-28,0.0,,0.00011064042380720864,,tonal__nominal__nominal__synthetic__identified__fxnlms,tonal__nominal__nominal__synthetic__identified,,False
none,0.0,0.0250971148537574,0.0,,0.02516689796906694,,tonal__nominal__identified-mismatch__synthetic__identified__none,tonal__nominal__identified-mismatch__synthetic__identified,,False
fxlms,12.9683449570946,5.722278001963732e-07,0.0,,0.0012705600410422688,,tonal__nominal__identified-mismatch__synthetic__identified__fxlms,tonal__nominal__identified-mismatch__synthetic__identified,,False
fxnlms,22.779517738848995,4.544117349663742e-28,0.0,,0.00013270213634176826,,tonal__nominal__identified-mismatch__synthetic__identified__fxnlms,tonal__nominal__identified-mismatch__synthetic__identified,,False
none,0.0,0.024683140623972654,0.0,,0.018442462063660597,,burst__nominal__nominal__synthetic__identified__none,burst__nominal__nominal__synthetic__identified,,False
fxlms,2.984264383742884,0.005458368839643089,0.0,,0.009276677534679709,,burst__nominal__nominal__synthetic__identified__fxlms,burst__nominal__nominal__synthetic__identified,,False
fxnlms,11.960108258214328,6.648083396100315e-06,0.0,,0.0011743784491281947,,burst__nominal__nominal__synthetic__identified__fxnlms,burst__nominal__nominal__synthetic__identified,,False
none,0.0,0.025592502071061618,0.0,,0.019530998620712073,,burst__nominal__identified-mismatch__synthetic__identified__none,burst__nominal__identified-mismatch__synthetic__identified,,False
fxlms,3.4244663199170677,0.005151122080550243,0.0,,0.00887723705615318,,burst__nominal__identified-mismatch__synthetic__identified__fxlms,burst__nominal__identified-mismatch__synthetic__identified,,False
fxnlms,11.75152894006029,7.119644910934362e-06,0.0,,0.0013048829464007256,,burst__nominal__identified-mismatch__synthetic__identified__fxnlms,burst__nominal__identified-mismatch__synthetic__identified,,False
